Codigo;Estoque;Preco;Vencimento;Descricao
1000;27;30.85;2026-08-27;Arroz Agulhinha 5kg
1001;468;37.92;2026-06-20;Feijão Carioca 1kg
1002;139;25.52;2027-01-25;Açúcar Refinado 1kg
1003;463;21.08;2027-01-22;Óleo de Soja 900ml
1004;329;22.7;2026-12-27;Café Torrado e Moído 500g
1005;170;26.37;2026-09-24;Leite Integral 1L
1006;441;25.17;2026-11-26;Macarrão Espaguete 500g
1007;432;10.4;2027-01-19;Biscoito Recheado 130g
1008;145;29.49;2026-10-26;Detergente Líquido 500ml
1009;320;20.95;2026-06-12;Sabonete em Barra 90g
1010;470;33.95;2026-08-06;Creme Dental 90g
1011;112;16.27;2027-01-22;Papel Higiênico 4 rolos
1012;314;38.27;2026-06-14;Suco de Laranja 1L
1013;367;34.43;2027-02-21;Iogurte Natural 170g
1014;97;6.21;2027-01-11;Manteiga com Sal 200g
1015;127;24.07;2026-10-13;Queijo Muçarela 200g
1016;61;21.98;2027-01-16;Presunto Cozido 200g
1017;386;8.61;2027-02-22;Ovos Brancos 12 unidades
1018;81;42.32;2026-10-25;Pão de Forma 500g
1019;329;22.84;2026-06-25;Maionese Tradicional 500g
