,Codigo,Estoque,Preco,Vencimento,Descricao
0,2000,150,30.5,2025-12-01,Café Gourmet Moído
1,2001,85,4.99,2024-08-15,Biscoito Recheado Chocolate
2,2002,300,2.75,2026-01-10,Água Mineral 500ml
3,2003,42,89.9,2025-05-20,Azeite de Oliva Extra Virgem
4,2004,120,5.5,2025-06-30,Macarrão Espaguete 500g
5,2005,45,18.9,2024-11-12,Arroz Integral 1kg
6,2006,200,3.2,2025-01-20,Feijão Carioca 1kg
7,2007,30,25.0,2026-03-05,Vinho Tinto Seco
8,2008,75,14.3,2025-09-18,Suco de Uva Integral
9,2009,60,7.8,2024-12-25,Molho de Pimenta
10,2010,90,4.5,2025-02-14,Sal Refinado 1kg
11,2011,110,6.25,2025-07-07,Açúcar Demerara 1kg
12,2012,55,12.99,2024-10-30,Chá Verde Orgânico
13,2013,130,9.4,2025-04-10,Sardinha em Conserva
