Codigo;idCategoria;Descricao;Estoque;Preco;Vencimento
1000;1;Arroz Vida Refinado;238;16.09;2026-09-27
1001;1;Farinha Especial Integral;40;11.63;2027-02-08
1002;1;Biscoito Saboroso Premium;235;46.25;2027-03-26
1003;1;Macarrão Especial Extra;294;17.64;2027-05-25
1004;1;Feijão Especial Light;377;85.05;2028-02-23
1005;3;Shampoo Econômico Light;954;39.37;2028-01-01
1006;3;Fio Dental Tradicional Refinado;731;9.27;2028-04-22
1007;2;Água Sanitária Qualidade Refinado;897;12.34;2027-03-26
1008;4;Chá Gelado Fazenda Zero;389;37.1;2028-05-01
1009;3;Condicionador Tradicional Zero;556;73.52;2026-11-29
1010;4;Cerveja Vida Refinado;711;34.09;2026-08-11
1011;2;Detergente Fazenda Premium;284;8.95;2028-01-16
1012;3;Creme Dental Econômico Premium;915;91.58;2027-09-27
1013;2;Água Sanitária Top Refinado;772;57.18;2027-03-11
1014;4;Vinho Especial Extra;234;99.64;2026-11-03
1015;4;Suco de Uva Premium Light;166;63.61;2028-05-11
1016;4;Vinho Qualidade Premium;400;60.54;2027-10-07
1017;3;Shampoo Qualidade Caseiro;797;64.93;2026-10-07
1018;3;Escova de Dente Top Orgânico;13;95.4;2027-03-11
1019;2;Amaciante Vida Refinado;166;38.92;2026-11-27
1020;1;Farinha Fazenda Orgânico;29;13.4;2027-06-21
1021;3;Creme Dental Premium Refinado;909;57.76;2026-09-03
1022;1;Leite Qualidade Zero;141;66.76;2027-12-29
1023;2;Água Sanitária Natural Premium;997;23.13;2027-12-19
1024;2;Água Sanitária Especial Extra;458;90.12;2027-09-20
1025;1;Azeite Saboroso Light;356;4.55;2028-01-03
1026;2;Sabão em Pó Premium Light;734;63.97;2027-02-04
1027;1;Arroz Fazenda Light;536;25.68;2028-04-30
1028;4;Refrigerante Natural Zero;750;93.62;2028-01-20
1029;4;Refrigerante Econômico Premium;204;11.69;2028-04-19
1030;4;Água Mineral Especial Premium;488;86.64;2026-08-09
