id_venda,produto,quantidade,preco_unitario
1,Mouse,4,3396.81
2,Smartphone,2,3684.08
3,Câmera,2,3134.53
4,Teclado,4,711.37
5,Teclado,5,3508.89
6,Teclado,1,2587.31
7,Tablet,5,4686.38
8,Tablet,3,3131.96
9,Laptop,1,3100.45
10,Fone de Ouvido,1,2903.2
11,Smartphone,3,1413.46
12,Smartphone,5,2236.49
13,Smartphone,3,403.35
14,Monitor,4,212.59
15,Teclado,2,171.81
16,Smartphone,1,888.81
17,Mouse,4,180.87
18,Tablet,2,4062.78
19,Fone de Ouvido,4,4089.45
20,Câmera,3,2986.45
21,Monitor,5,1666.65
22,Câmera,1,1018.55
23,Mouse,3,4974.07
24,Fone de Ouvido,5,2739.14
25,Câmera,5,2812.6
26,Tablet,1,913.37
27,Mouse,1,1199.95
28,Monitor,1,1013.42
29,Câmera,2,2683.58
30,Monitor,5,1058.9
31,Mouse,1,4323.42
32,Fone de Ouvido,3,2381.67
33,Fone de Ouvido,2,3098.26
34,Fone de Ouvido,1,4598.05
35,Fone de Ouvido,2,2545.27
36,Smartphone,3,1666.72
37,Fone de Ouvido,3,3245.51
38,Teclado,5,2621.17
39,Teclado,4,1470.42
40,Câmera,1,4816.17
41,Smartphone,2,4628.51
42,Tablet,5,1634.19
43,Fone de Ouvido,2,4538.91
44,Fone de Ouvido,4,1449.71
45,Fone de Ouvido,3,121.1
46,Mouse,1,4848.79
47,Smartphone,4,3494.59
48,Smartphone,4,4063.85
49,Tablet,2,508.42
50,Mouse,4,2216.12
